date,app,placement,geo,device,ad_format,demand_partner,ad_requests,responses,wins,impressions,clicks,conversions,revenue,latency_ms
2026-01-01 00:00:00.000000000,App_Delta,Interstitial_01,BR,iOS,Video,Partner_A,4460,3829,903,820,64,6,2.45,247.0
2026-01-01 00:02:33.795075901,App_Epsilon,Interstitial_01,IN,iOS,Banner,Partner_A,5357,4847,3002,2901,33,3,4.13,363.0
2026-01-01 00:05:07.590151803,App_Gamma,Interstitial_01,BR,iOS,Rewarded,Partner_E,5947,4658,1054,970,5,0,0.56,213.0
2026-01-01 00:07:41.385227704,App_Epsilon,Interstitial_02,BR,iOS,Rewarded,Partner_E,2537,2003,1125,1041,36,5,2.9,637.0
2026-01-01 00:10:15.180303606,App_Epsilon,Rewarded_01,CA,iOS,Banner,Partner_A,751,700,218,208,3,0,0.34,265.0
2026-01-01 00:12:48.975379507,App_Beta,Interstitial_01,BR,iOS,Video,Partner_A,6715,6239,2162,2091,116,10,7.37,217.0
2026-01-01 00:15:22.770455409,App_Gamma,Banner_02,IN,iOS,Video,Partner_B,8071,6875,1775,1599,100,1,1.62,787.0
2026-01-01 00:17:56.565531310,App_Gamma,Video_01,UK,Android,Interstitial,Partner_E,1832,1369,214,203,4,0,0.9,768.0
2026-01-01 00:20:30.360607212,App_Gamma,Video_01,CA,Android,Interstitial,Partner_E,4765,4292,2257,2184,147,7,4.39,543.0
2026-01-01 00:23:04.155683113,App_Epsilon,Interstitial_01,IN,iOS,Banner,Partner_E,7838,6821,2843,2676,13,0,3.0,423.0
2026-01-01 00:25:37.950759015,App_Delta,Rewarded_01,CA,iOS,Rewarded,Partner_B,5553,3864,2198,1850,44,5,2.61,481.0
2026-01-01 00:28:11.745834916,App_Gamma,Rewarded_01,US,iOS,Rewarded,Partner_D,4655,3383,1365,1221,45,4,0.75,721.0
2026-01-01 00:30:45.540910818,App_Epsilon,Interstitial_02,UK,iOS,Interstitial,Partner_E,6901,5075,806,673,30,2,2.87,770.0
2026-01-01 00:33:19.335986719,App_Beta,Interstitial_01,US,Android,Video,Partner_D,8027,6334,1640,1421,53,1,6.78,642.0
2026-01-01 00:35:53.131062621,App_Delta,Banner_02,BR,Android,Interstitial,Partner_C,7757,5828,1936,1844,72,0,3.03,515.0
2026-01-01 00:38:26.926138522,App_Beta,Interstitial_02,UK,Android,Interstitial,Partner_B,3682,3083,1199,986,31,1,3.4,374.0
2026-01-01 00:41:00.721214424,App_Delta,Interstitial_02,BR,iOS,Banner,Partner_C,6235,6084,1718,1552,119,5,2.76,395.0
2026-01-01 00:43:34.516290325,App_Epsilon,Interstitial_01,US,Android,Interstitial,Partner_D,2603,2075,1128,1082,51,3,1.72,272.0
